Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
58,10,2363.01,23612,488,4880,287.7,2877,200.3,2003,41.0451,41.0451,,17940,,1.15292,2.03175,0.870815,1743.25,3628.61,38.0995,33.7267,3.565,3.75,158.216,175.99,72.9994,0d 1h 12m 59s
59,10,2084.56,20831.8,488,4880,253.8,2538,234.2,2342,47.9918,47.9918,,37616,,1.08896,2.61252,0.871657,905.314,1296.93,31.8092,28.5492,4.42,3.95,106.942,105.091,77.0704,0d 1h 17m 4s
60,10,2192.98,21908.4,488,4880,267,2670,221,2210,45.2869,45.2869,,58262,,1.1109,2.41684,0.871298,1859.73,3960.68,36.6002,32.7842,3.755,3.75,169.822,192.004,75.2837,0d 1h 15m 17s
61,10,2281.69,22797.1,488,4880,277.8,2778,210.2,2102,43.0738,43.0738,,54029,,1.08847,2.2206,0.821923,2200.07,4162.68,45.4416,37.7547,4.505,3.75,220.654,239.046,77.8124,0d 1h 17m 48s
62,10,1900.57,18992.3,488,4880,231.4,2314,256.6,2566,52.582,52.582,,64171,,1.09689,2.99927,0.871084,2620.52,4958.24,86.1839,58.9219,9.09,4.75,295.919,303.189,75.7471,0d 1h 15m 44s
63,10,2678.42,26765.2,488,4880,326.1,3261,161.9,1619,33.1762,33.1762,,56448,,1.14893,1.93539,0.870801,2094.44,3830.88,34.818,23.5673,2.7,1.85,176.534,181.449,74.1472,0d 1h 14m 8s
64,10,1904.71,19029.3,488,4880,231.9,2319,256.1,2561,52.4795,52.4795,,40169,,1.0666,2.99945,0.871611,1508.95,3806.72,39.1344,31.289,4.99,4.75,158.983,165.775,79.2467,0d 1h 19m 14s
65,10,1879.19,18774.8,488,4880,228.8,2288,259.2,2592,53.1148,53.1148,,63092,,1.08231,2.99921,1.83801,2300.63,3814.25,56.6519,43.6635,5.375,3.75,243.496,236.219,78.1451,0d 1h 18m 8s
66,10,2216.79,22149.4,488,4880,269.9,2699,218.1,2181,44.6926,44.6926,,61772,,1.13276,2.80583,0.870722,1082.34,3364.39,25.859,21.5615,4.57,3.75,95.7429,111.734,73.6057,0d 1h 13m 36s
67,10,2363.85,23620.9,488,4880,287.8,2878,200.2,2002,41.0246,41.0246,,5053,,1.12784,2.32235,0.87076,2245.17,4133.38,43.0059,39.4297,4.255,3.75,202.576,221.275,74.2391,0d 1h 14m 14s
68,10,2435.3,24330.6,488,4880,296.5,2965,191.5,1915,39.2418,39.2418,,40807,,1.12429,1.74182,0.870087,1657.25,3142.95,28.3254,25.1319,2.94,2.85,136.25,150.228,74.5816,0d 1h 14m 34s
69,10,2859.91,28576.3,488,4880,348.2,3482,139.8,1398,28.6475,28.6475,,38848,,1.19138,1.64012,0.870367,1220.07,3148.86,14.866,12.9055,2.29,1.5,88.3291,102.194,70.4401,0d 1h 10m 26s
70,10,2634.87,26323.1,488,4880,320.8,3208,167.2,1672,34.2623,34.2623,,15486,,1.13806,1.8386,0.870822,1399.53,5124.38,25.4007,22.2879,2.915,2.85,112.402,146.662,74.0342,0d 1h 14m 2s
71,10,2087.05,20858.4,488,4880,254.1,2541,233.9,2339,47.9303,47.9303,,48275,,1.11038,2.51175,0.832774,2206.21,5775.61,37.6466,34.2083,4.04,3.75,194.335,238.906,75.1289,0d 1h 15m 7s
72,10,2102.6,21006.9,488,4880,256,2560,232,2320,47.541,47.541,,57103,,1.11027,2.41906,0.871028,1612.99,4114.64,40.3138,35.3339,4.255,3.75,168.048,200.253,73.8907,0d 1h 13m 53s
73,10,2425.43,24231,488,4880,295.3,2953,192.7,1927,39.4877,39.4877,,34787,,1.17244,2.51557,0.870598,1723.55,4289.78,27.7417,25.4348,3.775,3.75,133.5,146.103,71.7838,0d 1h 11m 47s
74,10,2661.13,26587.9,488,4880,324,3240,164,1640,33.6066,33.6066,,56716,,1.14672,1.83854,0.870149,1725.6,5453.75,46.3369,33.6809,3.33,2.85,191.142,228.587,74.6394,0d 1h 14m 38s
75,10,1880.08,18784.5,488,4880,228.9,2289,259.1,2591,53.0943,53.0943,,17006,,1.11469,2.99925,0.871206,2075.87,3632.37,55.7026,42.2159,6.48,5.75,210.128,215.695,73.4126,0d 1h 13m 24s
76,10,2123.69,21199.3,488,4880,258.6,2586,229.4,2294,47.0082,47.0082,,1566,,1.08014,2.6126,1.83819,2900.39,4579.32,51.7729,47.3112,4.665,4.75,260.735,277.51,75.6328,0d 1h 15m 37s
77,10,2790.09,27873.7,488,4880,339.7,3397,148.3,1483,30.3893,30.3893,,20044,,1.18483,1.93111,0.830943,1654.93,4359.41,30.3874,26.4936,2.63,2.85,139.482,170.834,71.0231,0d 1h 11m 1s
78,10,2058.31,20568.3,488,4880,250.6,2506,237.4,2374,48.6475,48.6475,,26233,,1.13778,2.80606,1.83776,1867.17,3790.07,47.2561,42.7864,5.2,4.75,189.093,196.899,73.7664,0d 1h 13m 45s
79,10,2222.55,22207.5,488,4880,270.6,2706,217.4,2174,44.5492,44.5492,,56057,,1.13463,2.41516,1.80118,2106.73,5073.29,34.3969,33.2,3.8,3.75,172.331,211.221,73.8942,0d 1h 13m 53s
80,10,2289.11,22869.9,488,4880,278.7,2787,209.3,2093,42.8893,42.8893,,26607,,1.08233,2.32214,0.870788,2072.27,4768.86,39.8101,30.8488,3.33,2.85,189.84,216.546,77.8925,0d 1h 17m 53s
81,10,2709.63,27071.7,488,4880,329.9,3299,158.1,1581,32.3975,32.3975,,27463,,1.18774,2.12853,0.870365,1386.95,2971.53,20.9275,19.1175,2.945,2.85,100.684,115.295,70.6235,0d 1h 10m 37s
82,10,1983.51,19809.8,488,4880,241.5,2415,246.5,2465,50.5123,50.5123,,34891,,1.09299,2.70929,0.870938,1408.38,3493.27,32.4277,27.8809,4.565,4.75,134.005,146.635,75.7244,0d 1h 15m 43s
