Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
79,10,3881.83,38762.2,282,2820,272.7,2727,9.3,93,3.29787,3.29787,,54071,,18.2614,2.90236,0.871075,524.955,1254.95,5.5671,5.44211,3.02,2.85,32.8428,40.7338,0.342318,0d 0h 0m 20s
80,10,3769.39,37631.9,282,2820,264.8,2648,17.2,172,6.09929,6.09929,,54058,,21.5325,2.12893,0.871062,193.302,1246.46,3.32009,3.27969,2.14,1.85,12.2803,25.4065,0.344727,0d 0h 0m 20s
81,10,3894.64,38881.3,282,2820,273.6,2736,8.4,84,2.97872,2.97872,,13931,,14.6425,2.8058,0.871569,566.468,1257.51,6.47596,6.39263,2.82,2.85,35.3332,43.2496,0.523214,0d 0h 0m 31s
82,10,3982.91,39762.7,282,2820,279.8,2798,2.2,22,0.780142,0.780142,,48387,,22.1026,2.22532,0.870814,170.792,709.885,3.17255,3.17656,2.22,1.85,10.4749,16.4541,0.305802,0d 0h 0m 18s
83,10,3846.24,38399.4,282,2820,270.2,2702,11.8,118,4.1844,4.1844,,48318,,21.1812,2.41872,1.83784,351.225,1139.31,4.30567,4.3678,2.43,1.85,21.5593,32.8915,0.347757,0d 0h 0m 20s
84,10,4001.42,39954.6,282,2820,281.1,2811,0.9,9,0.319149,0.319149,,33428,,27.9898,1.93519,0.870577,217.024,1242.26,3.28106,3.27277,1.93,1.85,15.265,31.703,0.23444,0d 0h 0m 14s
85,10,3994.3,39902.4,282,2820,280.6,2806,1.4,14,0.496454,0.496454,,47102,,20.9794,2.51545,0.871027,289.512,900.019,3.9739,3.97251,2.61,2.85,17.485,25.2049,0.301685,0d 0h 0m 18s
86,10,3883.24,38780.3,282,2820,272.8,2728,9.2,92,3.26241,3.26241,,49881,,21.6825,2.21912,0.858847,598.73,1248.92,4.99764,5.03532,2.24,2.85,35.9429,44.6456,0.321274,0d 0h 0m 19s
87,10,3873.3,38692.2,282,2820,272.1,2721,9.9,99,3.51064,3.51064,,47187,,24.8637,1.74185,0.870832,168.795,1013.72,2.77318,2.75642,1.74,1.85,10.564,20.8316,0.309085,0d 0h 0m 18s
88,10,3857.63,38519.1,282,2820,271,2710,11,110,3.90071,3.90071,,50046,,19.4341,2.70888,0.871011,473.255,1249.82,5.60605,5.42371,2.81,2.85,32.0951,45.3045,0.304456,0d 0h 0m 18s
